Player,height,two_pt_pct,ft_pct,three_pt_pct,player_id
C.J. Watson,74,0.371,0.872,0.292,201228
Trevor Ariza,80,0.478,0.783,0.371,2772
Michael Beasley,81,0.531,0.776,0.333,201563
Patrick Beverley,73,0.472,0.682,0.4,201976
Corey Brewer,81,0.46,0.75,0.272,201147
Clint Capela,82,0.583,0.379,0.0,203991
Sam Dekker,81,0.0,0.0,0.0,1626155
Andrew Goudelock,75,0.727,0.75,0.111,202726
James Harden,77,0.494,0.86,0.359,201935
Montrezl Harrell,79,0.652,0.522,0.0,1626149
Chuck Hayes,78,0.5,1.0,0.0,101236
Dwight Howard,82,0.626,0.489,0.0,2730
Terrence Jones,81,0.49,0.664,0.316,203093
K.J. McDaniels,78,0.468,0.8,0.28,203909
Donatas Motiejūnas,84,0.5,0.642,0.281,202700
Josh Smith,81,0.417,0.552,0.287,2746
Jason Terry,74,0.504,0.818,0.356,1891
Darrell Arthur,81,0.473,0.755,0.385,201589
D.J. Augustin,71,0.44,0.805,0.405,201571
Will Barton,78,0.476,0.806,0.345,203115
Kenneth Faried,80,0.558,0.613,0.5,202702
Danilo Gallinari,82,0.434,0.868,0.364,201568
Gary Harris,76,0.543,0.82,0.354,203914
Nikola Jokić,83,0.541,0.811,0.333,203999
Joffrey Lauvergne,83,0.557,0.899,0.245,203530
Mike Miller,80,0.3,0.0,0.365,2034
Emmanuel Mudiay,75,0.379,0.67,0.319,1626144
Jameer Nelson,72,0.429,0.857,0.299,2749
Jusuf Nurkić,83,0.423,0.616,0.0,203994
Kostas Papanikolaou,80,0.412,0.643,0.313,203123
JaKarr Sampson,79,0.496,0.656,0.222,203960
Axel Toupane,79,0.4,0.765,0.325,1626253
Cameron Bairstow,81,0.343,0.875,0.2,203946
Aaron Brooks,72,0.43,0.766,0.357,201166
Jimmy Butler,79,0.489,0.832,0.312,202710
Mike Dunleavy,75,0.427,0.784,0.394,2399
Mike Dunleavy,81,0.427,0.784,0.394,2399
Cristiano Felício,83,0.588,0.714,0.0,1626245
Pau Gasol,84,0.478,0.792,0.348,2200
Taj Gibson,81,0.529,0.692,0.0,201959
Justin Holiday,78,0.423,0.73,0.343,203200
Doug McDermott,79,0.47,0.857,0.425,203926
Nikola Mirotić,82,0.43,0.807,0.39,202703
E'Twaun Moore,75,0.491,0.629,0.452,202734
Joakim Noah,83,0.386,0.489,0.0,201149
Bobby Portis,82,0.443,0.727,0.308,1626171
Derrick Rose,74,0.449,0.793,0.293,201565
Tony Snell,78,0.38,0.909,0.361,203503
Leandro Barbosa,75,0.508,0.839,0.355,2571
Harrison Barnes,80,0.508,0.761,0.383,203084
Andrew Bogut,84,0.626,0.48,1.0,101106
Ian Clark,75,0.5,0.824,0.357,203546
Stephen Curry,74,0.566,0.908,0.454,201939
Festus Ezeli,83,0.548,0.53,0.0,203105
Draymond Green,78,0.537,0.696,0.388,203110
Andre Iguodala,78,0.57,0.614,0.351,2738
Shaun Livingston,79,0.548,0.86,0.167,2733
Kevon Looney,81,0.6,0.0,0.5,1626172
James Michael McAdoo,81,0.537,0.531,0.5,203949
Brandon Rush,78,0.447,0.643,0.414,201575
Marreese Speights,82,0.439,0.825,0.387,201578
Klay Thompson,78,0.51,0.873,0.425,202691
Anderson Varejão,82,0.431,0.64,0.0,2760
Andrea Bargnani,84,0.471,0.825,0.188,200745
Bojan Bogdanović,79,0.474,0.833,0.382,202711
Markel Brown,75,0.443,0.755,0.314,203900
Wayne Ellington,76,0.416,0.857,0.358,201961
Rondae Hollis-Jefferson,78,0.476,0.712,0.286,1626178
Jarrett Jack,75,0.426,0.893,0.304,101127
Sergey Karasev,79,0.514,0.929,0.297,203508
Sean Kilpatrick,76,0.538,0.896,0.342,203930
Shane Larkin,71,0.464,0.776,0.361,203499
Brook Lopez,84,0.515,0.787,0.143,201572
Chris McCullough,83,0.413,0.478,0.382,1626191
Willie Reed,82,0.571,0.545,0.0,203186
Thomas Robinson,82,0.448,0.431,0.0,203080
Henry Sims,82,0.429,0.833,0.0,203156
Donald Sloan,75,0.462,0.75,0.384,202388
Thaddeus Young,80,0.523,0.644,0.233,201152
Brandon Bass,80,0.552,0.845,0.0,101138
Tarik Black,81,0.548,0.422,0.0,204028
Anthony Brown,79,0.339,0.85,0.286,1626148
Kobe Bryant,78,0.41,0.826,0.285,977
Jordan Clarkson,76,0.468,0.804,0.347,203903
Roy Hibbert,86,0.445,0.807,0.0,201579
Marcelo Huertas,75,0.479,0.931,0.262,1626273
Ryan Kelly,83,0.446,0.685,0.135,203527
Larry Nance Jr.,79,0.541,0.681,0.1,1626204
Julius Randle,80,0.436,0.715,0.278,203944
D'Angelo Russell,76,0.447,0.737,0.351,1626156
Robert Sacre,84,0.413,0.658,0.0,203135
Lou Williams,73,0.464,0.83,0.344,101150
Metta World Peace,79,0.312,0.702,0.31,1897
Nick Young,79,0.363,0.829,0.325,201156
Nicolas Batum,80,0.492,0.849,0.348,201587
Troy Daniels,76,0.462,0.556,0.484,203584
Jorge Gutiérrez,75,0.667,0.909,0.0,203268
Tyler Hansbrough,81,0.441,0.585,0.667,201946
Aaron Harrison,78,0.222,0.417,0.3,1626151
